"","coral_num","umol.cm2.hr","Rate","genotype","wound","temp","date","chamber_vol","SA","file.names.full","wound_status","timepoint"
"199",57,0.137280441991105,"Net Photosythesis",65,"0","A",20230607,647.2629465,15.113762,"20230607_g3_57_O2","no wound","0"
"200",61,0.109724434118415,"Net Photosythesis",65,"0","H",20230607,647.7113429,10.0055315,"20230607_g3_61_O2","no wound","0"
"201",63,0.275736927540441,"Net Photosythesis",65,"2","H",20230607,647.4816381,10.9789315,"20230607_g3_63_O2","wounded","0"
"202",67,0.0617143968497042,"Net Photosythesis",65,"1","A",20230607,646.7815104,11.0615135,"20230607_g3_67_O2","wounded","0"
"203",68,0.286614289336344,"Net Photosythesis",65,"0","A",20230607,647.6242858,8.8153145,"20230607_g3_68_O2","no wound","0"
"204",70,0.269568316700959,"Net Photosythesis",65,"1","H",20230607,647.3227327,11.800905,"20230607_g3_70_O2","wounded","0"
"205",73,0.314288877927626,"Net Photosythesis",67,"2","H",20230607,646.8386744,13.0631065,"20230607_g3_73_O2","wounded","0"
"206",78,0.424229408574682,"Net Photosythesis",67,"2","A",20230607,646.9231092,10.711639,"20230607_g3_78_O2","wounded","0"
"207",8,0.117243720842802,"Net Photosythesis",68,"0","H",20230607,647.7087207,9.450772,"20230607_g3_8_O2","no wound","0"
"208",80,0.393666861030495,"Net Photosythesis",67,"1","H",20230607,646.5544278,10.8349625,"20230607_g3_80_O2","wounded","0"
"209",84,0.102789486140712,"Net Photosythesis",67,"1","H",20230607,646.8035369,12.9155265,"20230607_g3_84_O2","wounded","0"
"210",86,0.425751399899529,"Net Photosythesis",67,"0","H",20230607,646.8176967,12.334234,"20230607_g3_86_O2","no wound","0"
"211",9,0.189511649706436,"Net Photosythesis",68,"2","A",20230607,647.0463527,15.383017,"20230607_g3_9_O2","wounded","0"
"212",90,0.398588527428842,"Net Photosythesis",67,"0","A",20230607,647.1800849,8.590883,"20230607_g3_90_O2","no wound","0"
"213",92,0.254237779918598,"Net Photosythesis",66,"1","H",20230607,647.3379414,10.858434,"20230607_g3_92_O2","wounded","0"
"214",94,0.297098443327551,"Net Photosythesis",66,"2","H",20230607,646.2539235,13.2131985,"20230607_g3_94_O2","wounded","0"
"215",97,0.195667472506514,"Net Photosythesis",66,"0","H",20230607,646.3005987,22.4110435,"20230607_g3_97_O2","no wound","0"
"216",99,0.31288822771214,"Net Photosythesis",66,"0","H",20230607,647.0211796,16.5598105,"20230607_g3_99_O2","no wound","0"
"217",102,0.56179956919883,"Gross Photosynthesis",66,"2","A",20230605,647.4457621,10.2779265,"20230605_g1_102_O2","wounded","0"
"218",103,0.552666627632653,"Gross Photosynthesis",66,"0","A",20230605,646.9302905,13.2066045,"20230605_g1_103_O2","no wound","0"
"220",105,0.484506283923017,"Gross Photosynthesis",66,"1","A",20230605,646.0942912,25.0701525,"20230605_g1_105_O2","wounded","0"
"221",18,0.520362207601129,"Gross Photosynthesis",68,"0","H",20230605,646.8519976,14.7492865,"20230605_g1_18_O2","no wound","0"
"222",2,0.806118182553388,"Gross Photosynthesis",68,"1","H",20230605,645.8010872,28.3475275,"20230605_g1_2_O2","wounded","0"
"223",21,0.450043738722079,"Gross Photosynthesis",70,"0","A",20230605,647.4074038,10.917466,"20230605_g1_21_O2","no wound","0"
"224",23,0.486005190071469,"Gross Photosynthesis",70,"1","H",20230605,647.4625766,9.88459126,"20230605_g1_23_O2","wounded","0"
"225",25,0.411268970664029,"Gross Photosynthesis",70,"2","A",20230605,646.7978758,12.285564,"20230605_g1_25_O2","wounded","0"
"226",27,0.327194123968511,"Gross Photosynthesis",70,"2","A",20230605,646.6875302,16.5012495,"20230605_g1_27_O2","wounded","0"
"227",3,0.785217164722504,"Gross Photosynthesis",68,"1","H",20230605,646.6113391,18.5524545,"20230605_g1_3_O2","wounded","0"
