"","coral_num","umol.cm2.hr","Rate.ln","Temp.C","temp","wound","timepoint"
"246",7,0.428072380387933,-0.638521920602983,30.4007213114754,"H",2,"day10"
"247",74,0.364850539149385,-0.76603934624576,30.6459047619048,"H",1,"day10"
"248",76,0.329773170667103,-0.844497719553422,30.6286666666667,"H",2,"day10"
"249",81,0.736231403831047,-0.178849905358202,30.5439508196721,"H",0,"day10"
"250",92,0.267442402234488,-1.0011887012261,30.7791428571429,"H",1,"day10"
"251",97,0.309842690726265,-0.891981874063682,30.6923333333333,"H",0,"day10"
"252",98,0.328757501830299,-0.846863783674769,30.7763015873016,"H",2,"day10"
"253",101,0.314417182265708,-0.88088212590003,28.0806086956522,"A",2,"day10"
"254",108,0.291322148843732,-0.9382241481381,28.5396129032258,"A",0,"day10"
"256",12,0.249079104479604,-1.05245672206329,28.5302580645161,"A",1,"day10"
"257",16,0.330171048963644,-0.84357236110377,28.3599193548387,"A",2,"day10"
"258",20,0.280706408380327,-0.965726782585042,28.038231884058,"A",1,"day10"
"259",29,0.23923669396853,-1.08105720294194,28.3985161290323,"A",2,"day10"
"260",34,0.299338439065807,-0.917946003416003,28.4451774193548,"A",0,"day10"
"262",42,0.316226686587976,-0.876525247453056,28.0240869565217,"A",2,"day10"
"263",54,0.229717818408954,-1.10951808605495,28.0794637681159,"A",1,"day10"
"264",62,0.364140288974136,-0.767568425526487,28.091347826087,"A",2,"day10"
"265",67,0.261592945612404,-1.01723615946967,28.066884057971,"A",1,"day10"
"266",68,0.446967442127586,-0.603365999122107,28.055652173913,"A",0,"day10"
"267",75,0.279444102552106,-0.969047985347853,28.1104202898551,"A",1,"day10"
"268",77,0.394641723873363,-0.703921568630822,28.4643548387097,"A",0,"day10"
"269",78,0.48228271052681,-0.540799192273482,28.5650806451613,"A",2,"day10"
"270",91,0.353960013965781,-0.789746159784857,28.470935483871,"A",1,"day10"
"271",14,0.30007525711632,-0.91610260677999,30.0467068965517,"H",2,"day10"
"273",2,0.312664792239689,-0.885119656646178,30.0514655172414,"H",1,"day10"
"274",28,0.262571978657575,-1.0145322625842,30.0826379310345,"H",0,"day10"
"275",33,0.217802640036679,-1.14632471768722,29.9859655172414,"H",2,"day10"
